id:ID,name,:LABEL
chembl:CHEMBL398707,HYDROMORPHONE,Drug
chembl:CHEMBL3545253,FLORTAUCIPIR F 18,Drug
chembl:CHEMBL2,PRAZOSIN,Drug
chembl:CHEMBL1621597,IPRATROPIUM,Drug
chembl:CHEMBL157101,KETOCONAZOLE,Drug
chembl:CHEMBL1670,MITOTANE,Drug
chembl:CHEMBL723,CARVEDILOL,Drug
chembl:CHEMBL157138,LISURIDE,Drug
chembl:CHEMBL2103830,FOSTAMATINIB,Drug
chembl:CHEMBL1201250,BENZQUINAMIDE,Drug
chembl:CHEMBL429,LABETALOL,Drug
chembl:CHEMBL1201335,GLYCOPYRRONIUM,Drug
chembl:CHEMBL1580,PENTOSTATIN,Drug
chembl:CHEMBL445,NORTRIPTYLINE,Drug
chembl:CHEMBL294951,PIZOTYLINE,Drug
chembl:CHEMBL2103752,ZICONOTIDE,Drug
chembl:CHEMBL535,SUNITINIB,Drug
chembl:CHEMBL3545311,BRIGATINIB,Drug
chembl:CHEMBL1404,RANOLAZINE,Drug
chembl:CHEMBL367149,DOCONEXENT,Drug
chembl:CHEMBL1201117,METHOCARBAMOL,Drug
chembl:CHEMBL409153,ISAVUCONAZOLE,Drug
chembl:CHEMBL1434,MINOCYCLINE,Drug
chembl:CHEMBL184412,DRONEDARONE,Drug
chembl:CHEMBL91,MICONAZOLE,Drug
chembl:CHEMBL531,PERGOLIDE,Drug
chembl:CHEMBL7863,APROBARBITAL,Drug
chembl:CHEMBL484785,CRISABOROLE,Drug
chembl:CHEMBL7728,HEXOBARBITAL,Drug
chembl:CHEMBL644,TRIMIPRAMINE,Drug
chembl:CHEMBL1743043,MOXETUMOMAB PASUDOTOX,Drug
chembl:CHEMBL175,DEXIBUPROFEN,Drug
chembl:CHEMBL305187,IFENPRODIL,Drug
chembl:CHEMBL3707328,GALCANEZUMAB,Drug
chembl:CHEMBL1201134,LUBIPROSTONE,Drug
chembl:CHEMBL18,ETHOXZOLAMIDE,Drug
chembl:CHEMBL623,NEFAZODONE,Drug
chembl:CHEMBL1201210,PROPIOMAZINE,Drug
chembl:CHEMBL6246,ELLAGIC ACID,Drug
chembl:CHEMBL511142,BUPRENORPHINE,Drug
chembl:CHEMBL1201213,ISOETHARINE,Drug
chembl:CHEMBL23254,PURVALANOL B,Drug
chembl:CHEMBL490,PAROXETINE,Drug
chembl:CHEMBL521589,BAMBUTEROL,Drug
chembl:CHEMBL817,TOLAZAMIDE,Drug
chembl:CHEMBL279785,MARIMASTAT,Drug
chembl:CHEMBL1508,ESCITALOPRAM,Drug
chembl:CHEMBL26,SULPIRIDE,Drug
chembl:CHEMBL423,BETAXOLOL,Drug
chembl:CHEMBL86,METOCLOPRAMIDE,Drug
chembl:CHEMBL1763,HYDROFLUMETHIAZIDE,Drug
chembl:CHEMBL408,TROGLITAZONE,Drug
chembl:CHEMBL19299,LOXOPROFEN,Drug
chembl:CHEMBL3137320,TALAZOPARIB,Drug
chembl:CHEMBL128,SUMATRIPTAN,Drug
chembl:CHEMBL3545233,PAVINETANT,Drug
chembl:CHEMBL3936761,ZANUBRUTINIB,Drug
chembl:CHEMBL13291,FLUDIAZEPAM,Drug
chembl:CHEMBL370805,COCAINE,Drug
