DiseaseId	Class
C0024286	C01
C0001249	C01
C0339916	C01
C1274320	C01
C0001261	C01
C0004771	C01
C0339901	C01
C0275584	C01
C1504431	C01
C0341012	C01
C0878555	C01
C0275572	C01
C0030528	C01
C0013502	C01
C0275583	C01
C0153092	C01
C0277131	C01
C2028293	C01
C1112709	C01
C0850741	C01
C2350621	C01
C4303527	C01
C0268095	C01
C1858361	C01
C1274377	C01
C0264480	C01
C0343378	C01
C1274321	C01
C1274323	C01
C0524688	C01
C0747256	C01
C0238104	C01
C0275551	C01
C0021313	C01
C0275553	C01
C0020097	C01
C0013505	C01
C1260880	C01
C0686709	C01
C0041188	C01
C0684256	C01
C0280734	C01
C0950124	C01
C2350530	C01
C0343731	C01
C0277004	C01
C0275550	C01
C0151465	C01
C0206044	C01
C0153167	C01
C0276919	C01
C1282983	C01
C1306860	C01
C0021355	C01
C0001486	C01
C0035637	C01
C0013504	C01
C0014371	C01
C0205671	C01
C0006413	C01
C1319296	C01
C1136210	C01
C0157680	C01
C0858005	C01
C0024266	C01
C0031887	C01
C0034362	C01
C0030499	C01
C0024198	C01
C0078911	C01
C1262117	C01
C0276279	C01
C0002438	C01
C1096560	C01
C0338424	C01
C0033129	C01
C0276527	C01
C1696946	C01
C1279621	C01
C0175708	C01
C0153308	C01
C0276926	C01
C1290708	C01
C0238097	C01
C1832324	C01
C1319018	C01
C0338404	C01
C0026936	C01
C1608955	C01
C0152491	C01
C0038166	C01
C4551962	C01
C0038165	C01
C0034494	C01
C0038538	C01
C1260874	C01
C0410422	C01
C0206042	C01
C0026916	C01
C0029443	C01
C1136209	C01
C0243010	C01
C0729518	C01
C0036983	C01
C0024788	C01
C3665339	C01
C0311386	C01
C3805214	C01
C1720008	C01
C0007932	C01
C0085594	C01
C0037280	C01
C0814152	C01
C0403693	C01
C0338430	C01
C0041227	C01
C0276501	C01
C1532322	C01
C0206617	C01
C0877121	C01
C0343858	C01
C0043541	C01
C0032749	C01
C0877153	C01
C0020413	C01
C1136321	C01
C0275544	C01
C0017409	C01
C0403414	C01
C0036981	C01
C1260881	C01
C0277154	C01
C2242472	C01
C0851881	C01
C0011636	C01
C0030409	C01
C0948780	C01
C0741796	C01
C0276379	C01
C0032371	C01
C0311388	C01
C0085437	C01
C0276289	C01
C0038012	C01
C0153257	C01
C0014324	C01
C0276758	C01
C4721444	C01
C0152965	C01
C0007939	C01
C1135745	C01
C0006818	C01
C0341851	C01
C0263218	C01
C0520575	C01
C0877445	C01
C1403880	C01
C3665800	C01
C2749137	C01
C0085438	C01
C0856597	C01
C0016397	C01
C0153066	C01
C0348165	C01
C1861457	C01
C4303482	C01
C0275524	C01
C0277192	C01
C0238990	C01
C0029291	C01
C0472817	C01
C0339825	C01
C4302102	C01
C0338401	C01
C1827301	C01
C1175175	C01
C1969957	C01
C1847650	C01
C0001175	C01
C3178973	C01
C0343400	C01
C0162628	C01
C0348148	C01
C0553577	C01
C0085693	C01
C3665596	C01
C4038890	C01
C0038160	C01
C0239055	C01
C0343363	C01
C0028242	C01
C0747667	C01
C2931022	C01
C0036685	C01
C0036689	C01
C1299919	C01
C0031157	C01
C0343885	C01
C0847226	C01
C0023346	C01
C0281779	C01
C1096582	C01
C0518948	C01
C0040560	C01
C0007930	C01
C0268821	C01
C0030389	C01
C0276223	C01
C3854437	C01
C0040250	C01
C0152936	C01
C0035613	C01
C0008698	C01
C0277150	C01
C0152068	C01
C0040559	C01
C0031049	C01
C0028848	C01
C1262313	C01
C0376329	C01
C0038395	C01
C3266863	C01
C0343972	C01
C0376300	C01
C1845073	C01
C0041234	C01
C0343386	C01
C0750466	C01
C2732890	C01
C0026919	C01
C4707262	C01
C1443237	C01
C3887668	C01
C0585187	C01
C2959467	C01
C0015231	C01
C0747690	C01
C0851162	C01
C0581354	C01
C0949056	C01
C0031019	C01
C0858004	C01
C3694279	C01
C0026393	C01
C0001849	C01
C0019372	C01
C1290646	C01
C0006105	C01
C3178957	C01
C0151463	C01
C0276908	C01
C0343751	C01
C0702135	C01
C3874414	C01
C1719672	C01
C4744849	C01
C0264478	C01
C1168198	C01
C0276357	C01
C0276089	C01
C0010232	C01
C0023288	C01
C0151874	C01
C0020102	C01
C0264222	C01
C0341599	C01
C0024116	C01
C0877148	C01
C0279591	C01
C0040247	C01
C0473119	C01
C1096721	C01
C0032241	C01
C0348321	C01
C3495436	C01
C0024106	C01
C2314882	C01
C0025309	C01
C0043168	C01
C0025310	C01
C0149777	C01
C0032285	C01
C0006840	C01
C0275706	C01
C1698398	C01
C1269831	C01
C4039254	C01
C0343287	C01
C1331548	C01
C0392163	C01
C0149517	C01
C1609535	C01
C1697878	C01
C0007894	C01
C1096691	C01
C4703487	C01
C0343806	C01
C0085407	C01
C4302250	C01
C0343863	C01
C0021400	C01
C0276168	C01
C0153261	C01
C0600123	C01
C0343401	C01
C0409543	C01
C0267924	C01
C0085740	C01
C0152915	C01
C0014493	C01
C0040896	C01
C0751584	C01
C0006849	C01
C0157846	C01
C1456687	C01
C0243001	C01
C4041147	C01
C0152964	C01
C0041330	C01
C0026918	C01
C0008707	C01
