Id	Name
C0000727	Abdomen, Acute
C0000729	Abdominal Cramps
C0000731	Abdomen distended
C0000734	Abdominal mass
C0000735	Abdominal Neoplasms
C0000737	Abdominal Pain
C0000744	Abetalipoproteinemia
C0000768	Congenital Abnormality
C0000771	Abnormalities, Drug-Induced
C0000772	Multiple congenital anomalies
C0000786	Spontaneous abortion
C0000809	Abortion, Habitual
C0000821	Threatened abortion
C0000822	Abortion, Tubal
C0000832	Abruptio Placentae
C0000833	Abscess
C0000846	Agenesis
C0000880	Acanthamoeba Keratitis
C0000887	Acantholysis
C0000889	Acanthosis Nigricans
C0000921	Accidental Falls
C0001075	Achlorhydria
C0001079	Achondrogenesis
C0001080	Achondroplasia
C0001122	Acidosis
C0001125	Acidosis, Lactic
C0001126	Renal tubular acidosis
C0001127	Acidosis, Respiratory
C0001139	Acinetobacter Infections
C0001144	Acne Vulgaris
C0001145	Acne Keloid
C0001175	Acquired Immunodeficiency Syndrome
C0001193	Apert syndrome
C0001197	Acrodermatitis
C0001202	Acrokeratosis
C0001206	Acromegaly
C0001231	ACTH Syndrome, Ectopic
C0001249	Actinobacillus Infections
C0001261	Actinomycosis
C0001306	Acute alcoholic liver disease
C0001308	Acute and subacute liver necrosis (disorder)
C0001311	Acute bronchiolitis
C0001338	Herpetic Acute Necrotizing Encephalitis
C0001339	Acute pancreatitis
C0001342	Acute periodontitis
C0001344	Acute pharyngitis
C0001349	Acute-Phase Reaction
C0001361	Acute tonsillitis
C0001363	Acute vascular insufficiency of intestine (disorder)
C0001364	Massive Hepatic Necrosis
C0001403	Addison Disease
C0001416	Adenitis
C0001418	Adenocarcinoma
C0001420	Papillary adenocarcinoma
C0001422	Adenofibroma
C0001429	Adenolymphoma
C0001430	Adenoma
C0001432	Adenoma, Chromophobe
C0001433	Adenoma, Acidophil
C0001442	Adenosarcoma
C0001486	Adenovirus Infections
C0001510	Postoperative adhesion
C0001511	Tissue Adhesions
C0001529	Adiposis Dolorosa
C0001539	Adjustment disorder with depressed mood
C0001546	Adjustment Disorders
C0001576	Adnexal Diseases
C0001614	Adrenal Cortex Diseases
C0001618	Tumors of Adrenal Cortex
C0001621	Adrenal Gland Diseases
C0001622	Adrenal Gland Hyperfunction
C0001623	Adrenal gland hypofunction
C0001624	Adrenal Gland Neoplasms
C0001627	Congenital adrenal hyperplasia
C0001630	Adrenal Rest Tumor
C0001676	Adult Antisocial Behavior
C0001723	Affective Disorders, Psychotic
C0001726	Affective Symptoms
C0001733	Afibrinogenemia
C0001752	African swine fever
C0001768	Agammaglobulinemia
C0001787	Osteoporosis, Age-Related
C0001807	Aggressive behavior
C0001811	Aging
C0001815	Primary Myelofibrosis
C0001816	Agnosia
C0001818	Agoraphobia
C0001824	Agranulocytosis
C0001825	Agraphia
C0001828	Agricultural Workers' Diseases
C0001849	AIDS Dementia Complex
C0001857	AIDS related complex
C0001883	Airway Obstruction
C0001889	Akinetic Mutism
C0001890	Akinetic Petit Mal
C0001916	Albinism
C0001925	Albuminuria
C0001948	Alcohol consumption
C0001956	Alcohol Use Disorder
C0001957	Alcohol Withdrawal Delirium
C0001969	Alcoholic Intoxication
C0001973	Alcoholic Intoxication, Chronic
C0002016	Aleutian Mink Disease
C0002018	Alexia
C0002020	Alexithymia
C0002063	Alkalosis
C0002064	Alkalosis, Respiratory
C0002066	Alkaptonuria
C0002103	Atopic rhinitis
C0002136	Allogenic disease
C0002152	Alloxan Diabetes
C0002170	Alopecia
C0002171	Alopecia Areata
C0002312	alpha-Thalassemia
C0002351	Altitude Sickness
C0002382	Alveolar Bone Loss
C0002390	Extrinsic allergic alveolitis
C0002395	Alzheimer's Disease
C0002418	Amblyopia
C0002438	Amebiasis
C0002447	Amelia
C0002448	Ameloblastoma
C0002452	Amelogenesis Imperfecta
C0002453	Amenorrhea
C0002514	Amino Acid Metabolism, Inborn Errors
C0002534	Renal Aminoacidurias
C0002622	Amnesia
C0002623	Post-traumatic amnesia
C0002624	Retrograde amnesia
C0002625	Amnestic Disorder
C0002631	Infection of amniotic cavity
C0002690	Amputation Stumps
C0002726	Amyloidosis
C0002735	Oppenheim's Disease
C0002736	Amyotrophic Lateral Sclerosis
C0002768	Congenital Pain Insensitivity
C0002792	anaphylaxis
C0002793	Anaplasia
C0002797	Bovine Anaplasmosis
C0002831	Ancylostomiasis
C0002871	Anemia
C0002873	Anemia of chronic disease
C0002874	Aplastic Anemia
C0002875	Cooley's anemia
C0002876	Congenital dyserythropoietic anemia
C0002878	Anemia, Hemolytic
C0002879	Anemia, Hemolytic, Acquired
C0002880	Autoimmune hemolytic anemia
C0002881	Anemia, Hemolytic, Congenital
C0002882	Anemia, Hemolytic, Congenital Nonspherocytic
C0002883	Anemia, Hemolytic, Idiopathic Acquired
C0002884	Hypochromic anemia
C0002886	Anemia, Macrocytic
C0002888	Anemia, Megaloblastic
C0002889	Anemia, Microangiopathic
C0002890	Leukoerythroblastic Anemia
C0002891	Anemia, Neonatal
C0002892	Anemia, Pernicious
C0002893	Refractory anemias
C0002894	Refractory anaemia with excess blasts
C0002895	Anemia, Sickle Cell
C0002896	Sideroblastic anemia
C0002897	Anemia, Splenic
C0002902	Anencephaly
C0002938	Aneuploidy
C0002940	Aneurysm
C0002949	Aneurysm, Dissecting
C0002957	Anger
C0002959	Angiectasis
C0002962	Angina Pectoris
C0002963	Angina Pectoris, Variant
C0002965	Angina, Unstable
C0002982	Angioid Streaks
C0002985	Angiokeratoma
C0002986	Fabry Disease
C0002989	Epithelioid hemangioma of skin
C0002991	Cutaneous Fibrous Histiocytoma
C0002992	Angiomatosis
C0002994	Angioedema
C0003028	Anhidrosis
C0003076	Aniridia
C0003078	Aniseikonia
C0003079	Anisocoria
C0003081	Anisometropia
C0003089	Ankylosing spondylitis and other inflammatory spondylopathies
C0003090	Ankylosis
C0003113	Anomia
C0003119	Anophthalmos
C0003123	Anorexia
C0003125	Anorexia Nervosa
C0003126	Anosmia
C0003128	Anovulation
C0003129	Anoxemia
C0003130	Anoxia
C0003132	Anoxic Encephalopathy
C0003164	Anthracosilicosis
C0003165	Anthracosis
C0003175	Anthrax disease
C0003177	Cutaneous anthrax
C0003257	Antibody Deficiency Syndrome
C0003431	Antisocial Personality Disorder
C0003460	Anuria
C0003463	Anus Neoplasms
C0003466	Anus, Imperforate
C0003467	Anxiety
C0003469	Anxiety Disorders
C0003477	Separation Anxiety Disorder
C0003486	Aortic Aneurysm
C0003492	Aortic coarctation
C0003493	Aortic Diseases
C0003496	Aortic Rupture
C0003499	Supravalvular aortic stenosis
C0003504	Aortic Valve Insufficiency
C0003507	Aortic Valve Stenosis
C0003509	Aortitis
C0003510	Aortitis Syndrome
C0003516	Aortopulmonary Septal Defect
C0003534	Aphakia
C0003537	Aphasia
C0003546	Aphasia, Acquired
C0003550	Broca Aphasia
C0003564	Aphonia
C0003578	Apnea
C0003614	Appendiceal Neoplasms
C0003615	Appendicitis
C0003621	Appetite Disorders
C0003635	Apraxias
C0003650	Apudoma
C0003706	Arachnodactyly
C0003708	Arachnoiditis
C0003723	Arbovirus Infections
C0003742	Arcus Senilis
C0003756	Arenaviridae Infections
C0003803	Arnold Chiari Malformation
C0003810	Sertoli-Leydig cell tumor of ovary
C0003811	Cardiac Arrhythmia
C0003834	Arterial insufficiency
C0003838	Arterial Occlusive Diseases
C0003850	Arteriosclerosis
C0003851	Arteriosclerosis Obliterans
C0003855	Arteriovenous fistula
C0003857	Congenital arteriovenous malformation
C0003860	Arteritis
C0003862	Arthralgia
C0003864	Arthritis
C0003865	Arthritis, Adjuvant-Induced
C0003868	Arthritis, Gouty
C0003869	Arthritis, Infectious
C0003872	Arthritis, Psoriatic
C0003873	Rheumatoid Arthritis
C0003875	Arthritis, Viral
C0003886	Arthrogryposis
C0003892	Neurogenic arthropathy
C0003907	Arthus Reaction
C0003910	Articulation Disorders
C0003944	As If Personality
C0003949	Asbestosis
C0003950	Ascariasis
C0003962	Ascites
C0003969	Ascorbic Acid Deficiency
C0004030	Aspergillosis
C0004031	Aspergillosis, Allergic Bronchopulmonary
C0004044	Asphyxia
C0004045	Asphyxia Neonatorum
C0004048	Inspiration function
C0004059	aspirin intolerance
C0004093	Asthenia
C0004096	Asthma
C0004099	Asthma, Exercise-Induced
C0004106	Astigmatism
C0004114	Astrocytoma
C0004134	Ataxia
C0004135	Ataxia Telangiectasia
